
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2020.06.15 18:05:52  39.2025   25.7030        8.3      -.-  2.6  -.-   EGE DENIZI                                        İlksel
2020.06.15 17:32:03  39.4013   40.7553       11.8      -.-  2.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 17:13:30  39.3588   40.4730       17.2      -.-  2.2  -.-   CEVIZLI-ADAKLI (BINGOL)                           İlksel
2020.06.15 17:00:23  39.3800   40.7577       10.6      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 16:34:41  39.3785   40.6693        5.3      -.-  3.2  3.2   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 16:18:55  39.3555   40.5350       13.1      -.-  2.4  -.-   SENKOY-YEDISU (BINGOL)                            İlksel
2020.06.15 15:50:34  39.3552   40.7500       16.7      -.-  2.5  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 15:11:30  38.4137   39.2403        2.4      -.-  2.1  -.-   SOGUKPINAR-SIVRICE (ELAZIG)                       İlksel
2020.06.15 14:54:54  39.3485   40.6752        6.9      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 14:41:10  39.3737   40.6868       13.0      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 14:27:23  39.3700   40.7713       15.0      -.-  2.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 14:26:29  39.3740   40.7348       16.7      -.-  2.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 14:18:27  38.4130   39.1673        1.1      -.-  1.0  -.-   KAVAKKOY-SIVRICE (ELAZIG)                         İlksel
2020.06.15 14:01:02  39.3655   40.6755        5.3      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 13:53:35  39.3302   40.7493        7.5      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 13:49:58  39.3688   40.7360        7.3      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 13:48:56  39.3905   40.8103        5.3      -.-  2.0  -.-   SARIKUSAK-KARLIOVA (BINGOL)                       İlksel
2020.06.15 13:27:56  40.8600   30.3760        9.5      -.-  1.6  -.-   KAYRANCIK-ADAPAZARI (SAKARYA)                     İlksel
2020.06.15 13:18:21  39.3720   40.7522       18.4      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 12:55:56  39.3827   40.7237       14.6      -.-  1.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 12:52:04  39.3848   40.6945       17.2      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 12:45:26  39.3643   40.6790        7.4      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 12:40:01  39.3557   40.7558       15.3      -.-  1.9  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 12:33:42  39.3315   40.6997        7.8      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 12:32:42  39.2013   28.4780       22.9      -.-  1.7  -.-   CILBIRCI-SINDIRGI (BALIKESIR)                     İlksel
2020.06.15 12:31:05  38.2682   38.6678       18.0      -.-  2.3  -.-   CAYKOY-PUTURGE (MALATYA)                          İlksel
2020.06.15 12:25:25  39.3682   40.7105       15.6      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 12:19:57  39.3702   40.7733       10.4      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 12:16:25  39.3772   40.7273        7.4      -.-  2.5  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 12:14:49  39.3627   40.7688        3.6      -.-  2.5  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 12:09:18  39.3638   40.6958        3.9      -.-  2.6  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 12:08:58  35.9703   26.9690       12.0      -.-  2.4  -.-   AKDENIZ                                           İlksel
2020.06.15 12:03:10  39.3663   40.7537       14.6      -.-  2.3  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 11:58:13  37.1458   28.1813        4.1      -.-  1.5  -.-   MEKE-(MUGLA)                                      İlksel
2020.06.15 11:50:03  39.8402   40.6223        5.0      -.-  2.6  -.-   KUKURTLU-ASKALE (ERZURUM)                         İlksel
